id_pelanggan,nama_lengkap,nomor_telepon,email,alamat_lengkap,kota,provinsi,kode_pos,jenis_pelanggan,segmen,tanggal_registrasi,total_transaksi,total_nilai_pembelian,status,sumber_awal
C001,Ahmad Dewi,087083450593,ahmad.dewi@gmail.com,Jl. Anggrek No.19,Bogor,Jawa Barat,16110,Individu,Retail,2025-07-26,2,1207216,Aktif,Referensi
C002,Faisal Wijaya,088887957752,faisal.wijaya@gmail.com,Jl. Sentosa No.120,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-04-11,5,1686580,Aktif,Website
C003,Doni Hidayat,084821616481,doni.hidayat@yahoo.com,Jl. Utama No.37,Tangerang,Banten,15310,Individu,Retail,2025-08-06,1,643725,Aktif,Website
C004,Wati Setiawan,087973013955,wati.setiawan@gmail.com,Jl. Anggrek No.117,Tangerang,Banten,15310,Individu,Retail,2025-03-26,1,381266,Aktif,Website
C005,Fitri Nugroho,086156650335,fitri.nugroho@outlook.com,Jl. Sentosa No.30,Bekasi,Jawa Barat,17510,Individu,Retail,2024-08-19,1,591476,Aktif,Marketplace
C006,Endang Lestari,083902426457,endang.lestari@outlook.com,Jl. Raya No.93,Depok,Jawa Barat,16400,Individu,Retail,2024-09-29,1,203730,Aktif,Instagram
C007,Rahmat Hidayat,084599233236,rahmat.hidayat@gmail.com,Jl. Sentosa No.146,Bogor,Jawa Barat,16110,Individu,Retail,2025-08-19,1,769222,Aktif,Referensi
C008,Wahyu Dewi,089651816913,wahyu.dewi@yahoo.com,Jl. Sentosa No.12,Bandung,Jawa Barat,40115,Individu,Retail,2025-05-26,3,2302803,Aktif,TikTok
C009,Rina Firmansyah,084264159939,rina.firmansyah@yahoo.com,Jl. Mawar No.65,Depok,Jawa Barat,16400,Individu,Retail,2024-06-25,7,2973327,Aktif,WhatsApp
C010,Ayu Nugroho,086360402818,ayu.nugroho@outlook.com,Jl. Utama No.5,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-08-27,4,2821164,Aktif,Instagram
C011,Ayu Hidayat,082558459482,ayu.hidayat@outlook.com,Jl. Sentosa No.1,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-09-01,2,542188,Aktif,Website
C012,Doni Putra,089407297435,doni.putra@outlook.com,Jl. Utama No.115,Tangerang,Banten,15310,Individu,Retail,2024-06-05,3,627750,Aktif,TikTok
C013,Hendra Lestari,088359548977,hendra.lestari@outlook.com,Jl. Raya No.78,Depok,Jawa Barat,16400,Individu,Retail,2025-01-02,1,402028,Aktif,Instagram
C014,Sri Permana,085432691675,sri.permana@yahoo.com,Jl. Melati No.31,Depok,Jawa Barat,16400,Individu,Retail,2025-10-23,1,318369,Aktif,Instagram
C015,Maya Wijaya,086689188413,maya.wijaya@gmail.com,Jl. Melati No.138,Bekasi,Jawa Barat,17510,Individu,Retail,2025-01-15,1,328790,Tidak Aktif,TikTok
C016,Ani Permana,083020090071,ani.permana@outlook.com,Jl. Sentosa No.64,Depok,Jawa Barat,16400,Individu,Retail,2024-10-03,1,346700,Aktif,WhatsApp
C017,Muhammad Kusuma,087123460135,muhammad.kusuma@yahoo.com,Jl. Mawar No.53,Depok,Jawa Barat,16400,Individu,Retail,2025-05-04,1,798298,Aktif,Instagram
C018,Joko Putra,085731208318,joko.putra@outlook.com,Jl. Utama No.12,Depok,Jawa Barat,16400,Individu,Retail,2025-01-21,1,637618,Aktif,TikTok
C019,Endang Wijaya,085335824211,endang.wijaya@yahoo.com,Jl. Raya No.64,Tangerang,Banten,15310,Individu,Retail,2025-06-15,1,600260,Aktif,WhatsApp
C020,Wati Rahayu,083395643378,wati.rahayu@gmail.com,Jl. Mawar No.148,Bekasi,Jawa Barat,17510,Individu,Retail,2025-02-24,3,851949,Aktif,Marketplace
C021,Sri Putra,089849830611,sri.putra@outlook.com,Jl. Melati No.126,Depok,Jawa Barat,16400,Individu,Retail,2025-04-14,6,3112392,Aktif,Instagram
C022,Endang Putra,084462986292,endang.putra@outlook.com,Jl. Melati No.47,Tangerang,Banten,15310,Individu,Retail,2024-05-14,2,1568118,Aktif,WhatsApp
C023,Ayu Wijaya,082726243570,ayu.wijaya@outlook.com,Jl. Raya No.140,Tangerang,Banten,15310,Individu,Retail,2025-09-13,1,251189,Aktif,Instagram
C024,Yanto Wijaya,087210121684,yanto.wijaya@yahoo.com,Jl. Sentosa No.8,Tangerang,Banten,15310,Individu,Retail,2025-08-30,8,1299432,Aktif,Referensi
C025,Budi Rahayu,085787638866,budi.rahayu@gmail.com,Jl. Melati No.7,Depok,Jawa Barat,16400,Individu,Retail,2024-11-04,1,646183,Aktif,WhatsApp
C026,Nur Nugroho,088137850499,nur.nugroho@yahoo.com,Jl. Mawar No.111,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-12-27,2,1454172,Aktif,Website
C027,Doni Putra,087980350217,doni.putra@yahoo.com,Jl. Sentosa No.22,Tangerang,Banten,15310,Individu,Retail,2024-07-21,2,926758,Aktif,WhatsApp
C028,Yanto Sari,083871430626,yanto.sari@outlook.com,Jl. Raya No.125,Depok,Jawa Barat,16400,Individu,Retail,2024-09-08,1,557704,Aktif,TikTok
C029,Wahyu Hidayat,086060025732,wahyu.hidayat@gmail.com,Jl. Raya No.7,Jakarta Timur,DKI Jakarta,13220,Individu,Retail,2025-02-10,1,560952,Aktif,Marketplace
C030,Endang Nugroho,088936346940,endang.nugroho@yahoo.com,Jl. Raya No.119,Jakarta Barat,DKI Jakarta,11220,Individu,Retail,2024-07-23,1,503558,Aktif,Marketplace
C031,Wahyu Rahayu,083381304770,wahyu.rahayu@gmail.com,Jl. Melati No.14,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2024-08-26,1,398442,Aktif,Instagram
C032,Rina Wati,088009819393,rina.wati@gmail.com,Jl. Melati No.18,Tangerang,Banten,15310,Individu,Retail,2024-06-23,3,983016,Aktif,WhatsApp
C033,Muhammad Permana,084763632178,muhammad.permana@gmail.com,Jl. Anggrek No.112,Depok,Jawa Barat,16400,Individu,Retail,2025-09-14,3,827640,Aktif,TikTok
C034,Endang Nugroho,084088801038,endang.nugroho@gmail.com,Jl. Mawar No.33,Jakarta Selatan,DKI Jakarta,12160,Individu,Retail,2025-07-23,2,1334354,Aktif,Marketplace
C035,Ani Rahayu,088329938899,ani.rahayu@yahoo.com,Jl. Anggrek No.135,Depok,Jawa Barat,16400,Individu,Retail,2025-07-01,1,174495,Aktif,WhatsApp
